classification,Coin,total_pnl,average_pnl,total_trades,win_rate
Greed,MATIC,-246.629659,-8.220988633333333,30,13.333333333333334
Greed,MAVIA,1855.514424,26.507348914285714,70,97.14285714285714
Greed,ME,5407.838932,35.11583722077922,154,15.584415584415584
Greed,MELANIA,73550.500324,59.74857865475223,1231,69.04955320877335
Greed,MEME,839.063101,46.61461672222222,18,66.66666666666666
Greed,MERL,-3.17364,-1.58682,2,0.0
Greed,MEW,0.0,0.0,2,0.0
Greed,MINA,198.7045,24.8380625,8,87.5
Greed,MKR,5.263168,0.2392349090909091,22,9.090909090909092
Greed,MOODENG,68.127641,11.354606833333333,6,16.666666666666664
Greed,MOVE,-105.56743700000001,-3.518914566666667,30,20.0
Greed,MYRO,0.0,0.0,1,0.0
Greed,NEAR,1073.254531,31.56630973529412,34,85.29411764705883
Greed,NEIROETH,0.0,0.0,1,0.0
Greed,NTRN,1098.313553,15.254354902777777,72,58.333333333333336
Greed,ONDO,9830.81453,53.139537999999995,185,67.02702702702703
Greed,OP,6.306648,0.5733316363636364,11,9.090909090909092
Greed,ORDI,63.69578,4.549698571428571,14,71.42857142857143
Greed,PENDLE,1328.211087,3.5418962319999996,375,33.86666666666667
Greed,PENGU,5020.278249,13.90658794736842,361,52.07756232686981
Greed,PIXEL,94.69460000000001,13.527800000000001,7,14.285714285714285
Greed,PNUT,9491.958606,19.17567395151515,495,81.21212121212122
Greed,POPCAT,-9816.412248,-17.81563021415608,551,9.618874773139746
Greed,PROMPT,1985.161667,55.14337963888889,36,94.44444444444444
Greed,PURR,3314.362879,10.521786917460316,315,47.61904761904761
Greed,PURR/USDC,14983.976218,17.628207315294116,850,31.88235294117647
Greed,PYTH,1118.5681419999999,19.28565762068965,58,27.586206896551722
Greed,RENDER,82.31715,4.332481578947369,19,42.10526315789473
Greed,RLB,75.947736,37.973868,2,100.0
Greed,RNDR,9732.632186,77.861057488,125,79.2
Greed,RUNE,1328.8252109999999,7.301237423076922,182,47.8021978021978
